grid_id,grid_lat,grid_lon,hour,day_of_week,complaint_count,high_congestion,is_weekend,is_rush_hour,month
40.71_-74.0,40.71,-74.0,10,3,22,1,0,0,1
40.71_-74.0,40.71,-74.0,10,4,31,1,0,0,1
40.71_-74.0,40.71,-74.0,10,5,9,0,1,0,1
40.71_-74.0,40.71,-74.0,10,6,1,0,1,0,1
40.71_-74.0,40.71,-74.0,11,0,15,1,0,0,1
40.71_-74.0,40.71,-74.0,11,1,20,1,0,0,1
40.71_-74.0,40.71,-74.0,11,2,22,1,0,0,1
40.71_-74.0,40.71,-74.0,11,3,21,1,0,0,1
40.71_-74.0,40.71,-74.0,11,4,12,0,0,0,1
40.71_-74.0,40.71,-74.0,11,5,3,0,1,0,1
40.71_-74.0,40.71,-74.0,11,6,7,0,1,0,1
40.71_-74.0,40.71,-74.0,12,0,16,1,0,0,1
40.71_-74.0,40.71,-74.0,12,1,28,1,0,0,1
40.71_-74.0,40.71,-74.0,12,2,35,1,0,0,1
40.71_-74.0,40.71,-74.0,12,3,31,1,0,0,1
40.71_-74.0,40.71,-74.0,12,4,23,1,0,0,1
40.71_-74.0,40.71,-74.0,12,5,5,0,1,0,1
40.71_-74.0,40.71,-74.0,12,6,15,1,1,0,1
40.71_-74.0,40.71,-74.0,13,0,17,1,0,0,1
40.71_-74.0,40.71,-74.0,13,1,25,1,0,0,1
40.71_-74.0,40.71,-74.0,13,2,41,1,0,0,1
40.71_-74.0,40.71,-74.0,13,3,31,1,0,0,1
40.71_-74.0,40.71,-74.0,13,4,15,1,0,0,1
40.71_-74.0,40.71,-74.0,13,5,2,0,1,0,1
40.71_-74.0,40.71,-74.0,13,6,11,0,1,0,1
40.71_-74.0,40.71,-74.0,14,0,15,1,0,0,1
40.71_-74.0,40.71,-74.0,14,1,27,1,0,0,1
40.71_-74.0,40.71,-74.0,14,2,23,1,0,0,1
40.71_-74.0,40.71,-74.0,14,3,12,0,0,0,1
40.71_-74.0,40.71,-74.0,14,4,7,0,0,0,1
40.71_-74.0,40.71,-74.0,14,5,3,0,1,0,1
40.71_-74.0,40.71,-74.0,14,6,7,0,1,0,1
40.71_-74.0,40.71,-74.0,15,0,28,1,0,0,1
40.71_-74.0,40.71,-74.0,15,1,20,1,0,0,1
40.71_-74.0,40.71,-74.0,15,2,15,1,0,0,1
40.71_-74.0,40.71,-74.0,15,3,15,1,0,0,1
40.71_-74.0,40.71,-74.0,15,4,13,0,0,0,1
40.71_-74.0,40.71,-74.0,15,5,5,0,1,0,1
40.71_-74.0,40.71,-74.0,15,6,12,0,1,0,1
40.71_-74.0,40.71,-74.0,16,0,8,0,0,1,1
40.71_-74.0,40.71,-74.0,16,1,22,1,0,1,1
40.71_-74.0,40.71,-74.0,16,2,9,0,0,1,1
40.71_-74.0,40.71,-74.0,16,3,10,0,0,1,1
40.71_-74.0,40.71,-74.0,16,4,11,0,0,1,1
40.71_-74.0,40.71,-74.0,16,5,3,0,1,1,1
40.71_-74.0,40.71,-74.0,16,6,4,0,1,1,1
40.71_-74.0,40.71,-74.0,17,0,15,1,0,1,1
40.71_-74.0,40.71,-74.0,17,1,11,0,0,1,1
40.71_-74.0,40.71,-74.0,17,2,6,0,0,1,1
40.71_-74.0,40.71,-74.0,17,3,11,0,0,1,1
40.71_-74.0,40.71,-74.0,17,4,8,0,0,1,1
40.71_-74.0,40.71,-74.0,17,5,9,0,1,1,1
40.71_-74.0,40.71,-74.0,17,6,6,0,1,1,1
40.71_-74.0,40.71,-74.0,18,0,5,0,0,1,1
40.71_-74.0,40.71,-74.0,18,1,6,0,0,1,1
40.71_-74.0,40.71,-74.0,18,2,6,0,0,1,1
40.71_-74.0,40.71,-74.0,18,3,8,0,0,1,1
40.71_-74.0,40.71,-74.0,18,4,7,0,0,1,1
40.71_-74.0,40.71,-74.0,18,5,9,0,1,1,1
